2025-08-16 10:37:04,678 | INFO | pipeline | [download] dataset = adharshinikumar/2025-hearing-wellness-survey
2025-08-16 10:37:05,695 | INFO | pipeline | [download] cache path: C:\Users\filipe.silva\Documents\project\hearing_wellness\data\.kagglehub\datasets\adharshinikumar\2025-hearing-wellness-survey\versions\1
2025-08-16 10:37:05,695 | INFO | pipeline | [download] copiado: Hearing well-being Survey Report.csv -> data\raw\Hearing well-being Survey Report.csv
2025-08-16 10:37:05,695 | INFO | pipeline | [download] OK
2025-08-16 10:37:06,596 | INFO | pipeline | [bronze] lendo Hearing well-being Survey Report.csv
2025-08-16 10:37:06,645 | INFO | pipeline | [bronze] gravado C:\Users\filipe.silva\Documents\project\hearing_wellness\data\bronze\survey.parquet
2025-08-16 10:37:07,612 | INFO | pipeline | [silver] drop_duplicates: 387->387
2025-08-16 10:37:07,612 | INFO | pipeline | [silver] mapping: {'age': None, 'gender': None, 'hearing_issues': None, 'hearing_aid_use': None}
2025-08-16 10:37:07,629 | INFO | pipeline | [silver] gravado C:\Users\filipe.silva\Documents\project\hearing_wellness\data\silver\survey_clean.parquet
2025-08-16 10:37:13,662 | INFO | pipeline | [dq] success = True
2025-08-16 10:37:13,663 | WARNING | pipeline | [warn] coluna ausente para expectativa expect_column_values_to_be_in_set: 'gender'
2025-08-16 10:37:13,663 | WARNING | pipeline | [warn] coluna ausente para expectativa expect_column_values_to_be_in_set: 'hearing_issues'
2025-08-16 10:37:15,051 | INFO | pipeline | [gold] gerado: fact_survey.parquet, kpi_overview.parquet e cortes por age/gender se disponíveis
